웨이퍼ID,검사일,라인,챔버온도,챔버압력,증착두께,세정농도,파티클수,판정
WF-0365,2026-09-09,2라인,66.2,4.56,94.2,1.47,10,합격
WF-0366,2026-09-09,3라인,64.7,4.36,97.8,1.09,29,합격
WF-0367,2026-09-09,1라인,68.8,3.5,106.1,1.35,3,불합격
WF-0368,2026-09-09,2라인,65.4,4.66,96.2,1.46,10,합격
WF-0369,2026-09-09,3라인,65.4,3.91,96.1,1.36,35,합격
WF-0370,2026-09-09,1라인,69.9,3.04,96.3,1.17,47,합격
WF-0371,2026-09-09,2라인,66.8,5.08,99.7,1.14,19,불합격
WF-0372,2026-09-09,3라인,65.5,4.27,95.9,1.48,7,합격
WF-0373,2026-09-09,1라인,68.0,4.05,96.9,1.37,2,불합격
WF-0374,2026-09-09,2라인,65.1,4.4,96.8,1.03,29,합격
WF-0375,2026-09-09,3라인,65.5,4.32,95.8,1.9,8,합격
WF-0376,2026-09-09,1라인,63.3,4.8,101.1,1.16,0,합격
WF-0377,2026-09-09,2라인,63.4,4.57,100.9,1.23,8,합격
WF-0378,2026-09-09,3라인,62.5,2.92,103.2,1.49,9,합격
WF-0379,2026-09-09,1라인,64.2,4.16,99.1,0.91,52,합격
WF-0380,2026-09-09,2라인,64.1,4.07,99.4,1.08,7,합격
WF-0381,2026-09-10,3라인,66.5,4.51,100.6,0.96,13,불합격
WF-0382,2026-09-10,1라인,68.3,9.99,107.2,1.58,10,불합격
WF-0383,2026-09-10,2라인,71.9,4.27,98.4,0.87,3,불합격
WF-0384,2026-09-10,3라인,66.5,4.21,93.5,1.04,9,합격
WF-0385,2026-09-10,1라인,64.5,4.19,98.2,1.0,0,합격
WF-0386,2026-09-10,2라인,65.5,4.72,95.8,1.25,37,합격
WF-0387,2026-09-10,3라인,64.8,4.73,97.5,1.39,18,합격
WF-0388,2026-09-10,1라인,64.4,4.52,98.6,1.05,6,합격
WF-0389,2026-09-10,2라인,65.5,4.25,95.8,1.5,8,합격
WF-0390,2026-09-10,3라인,64.8,4.63,97.5,1.51,8,합격
WF-0391,2026-09-10,1라인,64.0,4.21,99.6,1.29,12,합격
WF-0392,2026-09-10,2라인,68.4,3.11,99.9,1.25,20,합격
WF-0393,2026-09-10,3라인,64.7,3.89,97.7,1.13,5,합격
WF-0394,2026-09-10,1라인,65.3,4.49,96.4,1.0,11,합격
WF-0395,2026-09-10,2라인,63.5,4.13,100.8,1.48,0,합격
WF-0396,2026-09-10,3라인,65.1,4.12,96.9,0.99,9,합격
WF-0397,2026-09-10,1라인,65.4,2.96,96.1,1.22,16,합격
WF-0398,2026-09-10,2라인,66.2,3.82,94.2,1.27,42,합격
WF-0399,2026-09-10,3라인,65.6,3.04,95.6,1.15,28,합격
WF-0400,2026-09-10,1라인,69.0,4.34,94.4,1.35,34,불합격
WF-0401,2026-09-10,2라인,73.5,4.56,94.7,1.45,7,불합격
WF-0402,2026-09-10,3라인,64.3,4.06,98.7,2.0,33,합격
WF-0403,2026-09-10,1라인,65.1,3.11,96.9,1.06,0,합격
WF-0404,2026-09-10,2라인,63.6,4.13,100.5,0.93,30,합격
WF-0405,2026-09-10,3라인,65.9,4.25,94.8,1.08,5,합격
WF-0406,2026-09-10,1라인,65.2,4.66,96.7,1.12,33,합격
WF-0407,2026-09-10,2라인,69.6,4.65,93.0,1.43,0,불합격
WF-0408,2026-09-10,3라인,65.0,4.38,97.0,1.34,8,합격
WF-0409,2026-09-10,1라인,66.3,4.59,100.9,1.09,0,불합격
WF-0410,2026-09-10,2라인,64.7,4.31,97.8,0.92,9,합격
WF-0411,2026-09-10,3라인,65.7,3.09,95.3,1.07,48,합격
WF-0412,2026-09-10,1라인,65.7,3.34,95.4,1.1,0,합격
WF-0413,2026-09-10,2라인,74.1,8.11,93.2,1.7,6,불합격
WF-0414,2026-09-10,3라인,64.2,4.74,99.0,1.22,15,합격
WF-0415,2026-09-10,1라인,67.3,4.42,98.5,0.92,5,불합격
WF-0416,2026-09-10,2라인,68.0,4.31,97.0,0.81,5,불합격
WF-0417,2026-09-10,3라인,70.9,4.93,101.0,1.33,7,불합격
WF-0418,2026-09-10,1라인,65.2,4.91,96.7,0.53,36,합격
WF-0419,2026-09-10,2라인,65.2,4.15,96.7,1.03,4,합격
WF-0420,2026-09-10,3라인,68.6,4.32,95.3,1.17,8,불합격
WF-0421,2026-09-10,1라인,65.0,3.8,97.1,1.08,28,합격
WF-0422,2026-09-10,2라인,66.6,3.13,100.3,1.12,22,불합격
WF-0423,2026-09-11,3라인,64.4,4.69,98.5,1.57,0,합격
WF-0424,2026-09-11,1라인,73.2,4.43,95.3,0.89,10,불합격
WF-0425,2026-09-11,2라인,70.9,4.2,93.8,1.37,7,합격
WF-0426,2026-09-11,3라인,64.9,3.03,97.2,1.28,11,합격
WF-0427,2026-09-11,1라인,65.2,2.93,96.7,0.95,8,합격
WF-0428,2026-09-11,2라인,63.8,2.94,100.0,1.15,12,합격
WF-0429,2026-09-11,3라인,64.2,4.43,99.0,1.17,34,합격
WF-0430,2026-09-11,1라인,65.1,5.01,96.9,0.79,26,합격
WF-0431,2026-09-11,2라인,70.8,4.63,90.0,0.87,36,불합격
WF-0432,2026-09-11,3라인,62.2,3.1,103.8,1.8,22,합격
WF-0433,2026-09-11,1라인,64.9,4.08,97.4,1.12,8,합격
WF-0434,2026-09-11,2라인,71.1,2.97,93.5,0.94,9,합격
WF-0435,2026-09-11,3라인,65.8,4.08,95.1,1.07,23,합격
WF-0436,2026-09-11,1라인,65.4,2.91,96.1,0.5,4,합격
WF-0437,2026-09-11,2라인,64.0,4.54,99.5,1.29,8,합격
WF-0438,2026-09-11,3라인,64.8,4.22,97.6,0.83,4,합격
WF-0439,2026-09-11,1라인,65.2,3.16,96.6,1.28,6,합격
WF-0440,2026-09-11,2라인,65.3,2.94,96.4,1.08,19,합격
WF-0441,2026-09-11,3라인,64.9,4.9,97.4,1.26,18,합격
WF-0442,2026-09-11,1라인,68.7,4.42,99.3,1.3,8,합격
WF-0443,2026-09-11,2라인,64.8,4.2,97.7,0.85,13,합격
WF-0444,2026-09-11,3라인,64.5,5.78,98.3,1.51,23,합격
WF-0445,2026-09-11,1라인,65.0,4.15,97.2,0.66,0,합격
WF-0446,2026-09-11,2라인,63.1,5.53,101.6,1.19,3,합격
WF-0447,2026-09-11,3라인,63.7,4.29,100.3,1.6,9,합격
WF-0448,2026-09-11,1라인,64.4,4.1,98.5,1.24,11,합격
WF-0449,2026-09-11,2라인,64.7,3.69,97.8,1.19,10,합격
WF-0450,2026-09-11,3라인,64.8,4.07,97.5,1.22,25,합격
WF-0451,2026-09-11,1라인,65.6,3.99,95.6,1.38,5,합격
WF-0452,2026-09-11,2라인,65.6,4.54,95.8,1.54,16,합격
WF-0453,2026-09-11,3라인,64.5,4.8,98.4,1.07,8,합격
WF-0454,2026-09-11,1라인,64.6,2.94,98.2,1.45,0,합격
WF-0455,2026-09-11,2라인,64.0,4.18,99.5,1.53,7,합격
WF-0456,2026-09-11,3라인,63.5,6.04,100.7,1.18,21,합격
WF-0457,2026-09-11,1라인,68.0,10.0,100.8,0.94,6,합격
WF-0458,2026-09-11,2라인,63.1,4.21,101.7,1.39,24,합격
WF-0459,2026-09-11,3라인,65.5,3.05,95.9,1.19,2,합격
WF-0460,2026-09-11,1라인,63.8,4.63,100.1,1.48,22,합격
WF-0461,2026-09-11,2라인,63.8,4.27,100.1,1.26,18,합격
WF-0462,2026-09-11,3라인,65.4,4.01,96.1,0.71,28,합격
WF-0463,2026-09-11,1라인,73.8,2.85,93.9,0.97,16,불합격
WF-0464,2026-09-11,2라인,70.9,4.23,93.8,1.26,8,합격
WF-0465,2026-09-12,3라인,65.0,4.38,97.1,1.5,10,합격
WF-0466,2026-09-12,1라인,64.6,4.24,98.1,0.72,0,합격
WF-0467,2026-09-12,2라인,66.0,3.34,94.6,1.24,9,합격
WF-0468,2026-09-12,3라인,64.2,4.49,99.0,1.19,0,합격
WF-0469,2026-09-12,1라인,69.0,4.98,94.4,1.03,15,불합격
WF-0470,2026-09-12,2라인,62.9,4.32,102.1,0.93,31,합격
WF-0471,2026-09-12,3라인,65.2,4.02,96.6,1.28,4,합격
WF-0472,2026-09-12,1라인,67.8,4.43,97.5,1.42,5,불합격
WF-0473,2026-09-12,2라인,68.0,4.3,101.0,1.56,4,합격
WF-0474,2026-09-12,3라인,64.7,3.33,97.9,1.24,20,합격
WF-0475,2026-09-12,1라인,65.8,4.25,95.2,0.96,4,합격
WF-0476,2026-09-12,2라인,64.1,3.09,99.2,0.91,11,합격
WF-0477,2026-09-12,3라인,66.1,2.99,94.4,1.01,10,합격
WF-0478,2026-09-12,1라인,68.3,4.16,100.2,1.01,9,합격
WF-0479,2026-09-12,2라인,65.1,4.38,104.0,0.87,4,불합격
WF-0480,2026-09-12,3라인,72.7,2.0,96.5,1.18,13,불합격
WF-0481,2026-09-12,1라인,71.2,4.85,100.2,0.91,9,불합격
WF-0482,2026-09-12,2라인,64.7,4.44,97.7,1.49,0,합격
WF-0483,2026-09-12,3라인,65.3,4.12,96.3,0.99,3,합격
WF-0484,2026-09-12,1라인,66.0,4.16,94.8,1.28,0,합격
WF-0485,2026-09-12,2라인,64.5,4.21,98.3,0.86,51,합격
WF-0486,2026-09-12,3라인,65.3,4.3,96.3,1.11,23,합격
WF-0487,2026-09-12,1라인,65.6,4.91,95.5,0.97,20,합격
WF-0488,2026-09-12,2라인,65.1,4.39,96.9,1.18,8,합격
WF-0489,2026-09-12,3라인,65.6,3.94,95.6,1.26,8,합격
WF-0490,2026-09-12,1라인,66.9,4.42,92.6,1.18,5,합격
WF-0491,2026-09-12,2라인,65.0,3.11,104.2,0.95,14,불합격
WF-0492,2026-09-12,3라인,64.8,3.35,97.6,0.61,0,합격
WF-0493,2026-09-12,1라인,64.6,4.57,98.2,1.22,24,합격
WF-0494,2026-09-12,2라인,70.4,8.28,102.2,1.34,24,불합격
WF-0495,2026-09-12,3라인,64.7,4.59,97.9,0.89,5,합격
WF-0496,2026-09-12,1라인,64.9,4.81,97.3,1.84,25,합격
WF-0497,2026-09-12,2라인,66.0,4.3,94.8,0.69,3,합격
WF-0498,2026-09-12,3라인,64.6,3.15,98.1,0.94,6,합격
WF-0499,2026-09-12,1라인,65.2,4.42,96.7,1.14,9,합격
WF-0500,2026-09-12,2라인,64.6,4.9,98.1,1.2,4,합격
WF-0501,2026-09-12,3라인,65.1,4.53,96.8,1.14,7,합격
WF-0502,2026-09-12,1라인,65.7,4.24,95.4,0.97,8,합격
WF-0503,2026-09-12,2라인,65.6,3.97,95.6,1.17,31,합격
WF-0504,2026-09-12,3라인,70.4,4.25,95.0,0.88,3,합격
WF-0505,2026-09-12,1라인,63.9,3.11,99.6,1.13,6,합격
WF-0506,2026-09-12,2라인,64.2,2.96,99.0,1.35,9,합격
